,manufacturer,model,generation,year,min_price,max_price,time_online,last_seen,date_listed,mileage,status,site,title,ad_id,image_url,display_name
0,Toyota,land-cruiser-prado,,2019,796900.0,799900.0,7 days 14:09:55.422126,2024-11-18 10:39:14.650320,2024-11-10 20:29:19.228194,64000,False,webuycars,2019 Toyota  Prado Vx-L 4.0 V6 Auto,000907962,https://photos.webuycars.co.za/photobooth/000907962/Images/0009079620.webp,Toyota land-cruiser-prado
1,Bmw,3 series,,2013,137900.0,137900.0,1 days 00:57:04.436062,2024-09-26 21:55:48.266741,2024-09-25 20:58:43.830679,131977,True,webuycars,2013 BMW  3 Series 320i Modern Line (F30),001510759,https://photos.webuycars.co.za/photobooth/001510759/Images/0015107590.webp,Bmw 3 series
2,Bmw,3 series,,2005,74900.0,74900.0,4 days 05:28:29.706434,2024-10-14 18:07:16.379596,2024-10-10 12:38:46.673162,136797,True,webuycars,2005 BMW  3 Series 320i Auto (E90),002403508,https://photos.webuycars.co.za/photobooth/002403508/Images/0024035080.webp,Bmw 3 series
3,Audi,a3,,2016,219900.0,225900.0,18 days 18:38:44.670600,2024-10-02 06:31:08.936264,2024-09-13 11:52:24.265664,94000,True,webuycars,2016 Audi  A3 Sportback 1.4 TFSI Stronic (35 TFSI),002410229,https://photos.webuycars.co.za/photobooth/002410229/Images/0024102290.webp,Audi a3
4,Bmw,3 series,,2014,91900.0,118900.0,34 days 22:59:30.481425,2024-10-18 11:42:00.769278,2024-09-13 12:42:30.287853,203191,True,webuycars,2014 BMW  3 Series 316i Auto (F30),002C14313,https://photos.webuycars.co.za/photobooth/002C14313/Images/002C143130.webp,Bmw 3 series
5,Bmw,2 series,,2015,193900.0,199900.0,9 days 19:50:18.526952,2024-09-23 08:31:33.336063,2024-09-13 12:41:14.809111,261820,True,webuycars,2015 BMW  2 Series 220d M Sport Auto (F22),006802732,https://photos.webuycars.co.za/photobooth/006802732/Images/0068027320.webp,Bmw 2 series
6,Renault,sandero,,2017,119900.0,119900.0,1 days 18:59:25.563594,2024-11-07 14:24:02.289213,2024-11-05 19:24:36.725619,103315,True,webuycars,2017 Renault  Sandero 900t Stepway Expression,008600578,https://photos.webuycars.co.za/photobooth/008600578/Images/0086005780.webp,Renault sandero
7,Audi,a3,,2020,291900.0,306900.0,58 days 08:27:40.000307,2024-11-10 20:20:04.265971,2024-09-13 11:52:24.265664,109500,True,webuycars,2020 Audi  A3 1.0T FSI Stronic (30 TFSI),008610582,https://photos.webuycars.co.za/photobooth/008610582/Images/0086105820.webp,Audi a3
8,Renault,sandero,,2017,80900.0,80900.0,0 days 09:17:00.684758,2024-10-03 22:30:17.797415,2024-10-03 13:13:17.112657,130000,True,webuycars,2017 Renault  Sandero 900t Stepway,008C13240,https://photos.webuycars.co.za/photobooth/008C13240/Images/008C132400.webp,Renault sandero
9,Bmw,1 series,,2017,218900.0,218900.0,5 days 19:10:53.832794,2024-09-19 07:10:26.930536,2024-09-13 11:59:33.097742,115316,True,webuycars,2017 BMW  1 Series 120i 5-Door Auto (F20),00B310957,https://photos.webuycars.co.za/photobooth/00B310957/Images/00B3109570.webp,Bmw 1 series
10,Renault,sandero,,2016,133900.0,133900.0,1 days 14:47:49.751175,2024-10-30 11:41:02.260692,2024-10-28 20:53:12.509517,50000,True,webuycars,2016 Renault  Sandero 900t Stepway,00B609562,https://photos.webuycars.co.za/photobooth/00B609562/Images/00B6095620.webp,Renault sandero
11,Bmw,2 series,,2020,474900.0,474900.0,7 days 14:10:38.600637,2024-11-18 10:32:26.426670,2024-11-10 20:21:47.826033,43268,False,webuycars,2020 BMW  2 Series 220d M Sport Auto (F22),00D807053,https://photos.webuycars.co.za/photobooth/00D807053/Images/00D8070530.webp,Bmw 2 series
12,Audi,a6,,2011,148900.0,153900.0,13 days 12:31:07.492998,2024-10-08 19:25:52.322343,2024-09-25 06:54:44.829345,178000,True,webuycars,2011 Audi  A6 3.0 TDI Quat S Tronic (180 KW),010E10413,https://photos.webuycars.co.za/photobooth/010E10413/Images/010E104130.webp,Audi a6
13,Renault,sandero,,2019,133900.0,149900.0,32 days 22:18:36.405929,2024-11-18 10:44:02.746760,2024-10-16 12:25:26.340831,51435,False,webuycars,2019 Renault  Sandero 900 T Expression,012106257,https://photos.webuycars.co.za/photobooth/012106257/Images/0121062570.webp,Renault sandero
14,Audi,a3,,2013,151900.0,151900.0,10 days 20:19:01.053549,2024-11-18 10:30:42.029746,2024-11-07 14:11:40.976197,149000,False,webuycars,2013 Audi  A3 Sportback 1.8T FSI SE Stronic,013E13952,https://photos.webuycars.co.za/photobooth/013E13952/Images/013E139520.webp,Audi a3
15,Audi,a3,,2010,105900.0,118900.0,29 days 08:28:21.925956,2024-10-16 15:41:13.009730,2024-09-17 07:12:51.083774,122000,True,webuycars,2010 Audi  A3 1.8T FSI Cabriolet Auto,017306100,https://photos.webuycars.co.za/photobooth/017306100/Images/0173061000.webp,Audi a3
