,image_url,link,title,manufacturer,model,generation,year,min_price,max_price,mileage,time_online,last_seen,date_listed,sold,site
0,https://photos.webuycars.co.za/photobooth/002410229/Images/0024102290.webp,https://www.webuycars.co.za/buy-a-car/Audi/A3/002410229,2016 Audi  A3 Sportback 1.4 TFSI Stronic (35 TFSI),audi,a3,,2016,229000,235900,94000,39 days 20:09:50.992210,2024-09-03 09:40:27.140468,2024-07-25 13:30:36.148258,False,webuycars
1,https://photos.webuycars.co.za/photobooth/006802732/Images/0068027320.webp,https://www.webuycars.co.za/buy-a-car/BMW/2 Series/006802732,2015 BMW  2 Series 220d M Sport Auto (F22),bmw,2 series,,2015,200000,209900,261820,25 days 16:42:48.102303,2024-09-03 09:40:45.222972,2024-08-08 16:57:57.120669,False,webuycars
2,https://photos.webuycars.co.za/photobooth/006B08023/Images/006B080230.webp,,2009 Toyota  Yaris T3 A/C 5-Door,mercedes-benz,c class,,2009,94900,94900,51000,0 days 00:00:00,2024-07-21 08:25:18.719578,2024-07-21 08:25:18.719578,True,webuycars
3,https://photos.webuycars.co.za/photobooth/008002634/Images/0080026340.webp,https://www.webuycars.co.za/buy-a-car/Suzuki/Jimny/008002634,2021 Suzuki  Jimny 1.5 GLX,suzuki,jimny,4th gen - JB74,2021,323900,337900,10900,48 days 02:48:27.827817,2024-09-02 11:06:06.554224,2024-07-16 08:17:38.726407,False,webuycars
4,https://photos.webuycars.co.za/photobooth/008503002/Images/0085030020.webp,,2015 BMW  1 Series 118i M Sport 5-Door Auto (F20),bmw,1 series,,2015,93000,93000,270900,0 days 16:02:05.309247,2024-07-10 08:49:25.842378,2024-07-09 16:47:20.533131,True,webuycars
5,https://photos.webuycars.co.za/photobooth/008610582/Images/0086105820.webp,https://www.webuycars.co.za/buy-a-car/Audi/A3/008610582,2020 Audi  A3 1.0T FSI Stronic (30 TFSI),audi,a3,,2020,303000,310900,109500,25 days 16:43:22.310961,2024-09-03 09:40:27.140468,2024-08-08 16:57:04.829507,False,webuycars
6,https://photos.webuycars.co.za/photobooth/00B310957/Images/00B3109570.webp,https://www.webuycars.co.za/buy-a-car/BMW/1 Series/00B310957,2017 BMW  1 Series 120i 5-Door Auto (F20),bmw,1 series,,2017,224900,230900,115316,67 days 19:43:11.930133,2024-09-03 09:40:36.524459,2024-06-27 13:57:24.594326,False,webuycars
7,https://photos.webuycars.co.za/photobooth/00E109851/Images/00E1098510.webp,,2014 Toyota  Corolla 1.8 Exclusive CVT,toyota,corolla,,2014,155900,155900,195470,0 days 05:38:49.986608,2024-07-04 13:35:18.570732,2024-07-04 07:56:28.584124,True,webuycars
8,https://photos.webuycars.co.za/photobooth/00FD08262/Images/00FD082620.webp,,2014 BMW  1 Series 116i 5-Door Auto (F20),bmw,1 series,,2014,173000,173900,72487,3 days 03:46:23.754167,2024-07-24 12:06:42.802978,2024-07-21 08:20:19.048811,True,webuycars
9,https://photos.webuycars.co.za/photobooth/012114440/Images/0121144400.webp,,2009 BMW  3 Series 320d Auto (E90),bmw,3 series,,2009,54000,54900,325184,3 days 23:40:50.444218,2024-08-07 09:10:39.922352,2024-08-03 09:29:49.478134,True,webuycars
